Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
S16-6-1,5.88652,29.46261,3.65152,138.38663,4.43428,4.86293,69.61347
S16-7-3,23.01517,9.82064,5.62831,404.2197,6.84648,6.51729,103.14198
S16-2-1,72.99221,9.29049,6.2435,501.24243,7.43729,7.5548,119.49559
S16-7-1,25.06508,10.44227,6.26188,476.67233,7.67455,7.09083,118.98849
S16-9-1,21.50987,51.98694,6.26629,467.04892,7.93422,9.06339,111.20459
S16-2-2,77.48362,9.93638,6.37963,486.02725,7.72631,7.54002,127.26633
S16-19-2,30.76441,4.43584,6.24101,58.02333,7.36513,7.2521,111.45062
S16-10-2,27.55254,0,6.27314,0,7.13628,7.13137,112.49908
S16-15-3,36.48522,0,6.84364,0,7.85887,7.92621,126.85053
S16-21-2,38.7026,0,4.37292,5.12525,4.99033,5.09928,91.31628
STD4,128.58698,156.27356,76.54576,155.85002,112.74286,140.75056,125.9251
